user_id,recency,frequency,monetary,prediction
514569443,167,3,792.19,0
513408348,167,1,87.26,3
565784717,167,2,591.44,0
548760219,167,2,776.52,0
515809872,166,8,2025.87,2
518702892,164,5,2333.1000000000004,2
541942344,167,1,82.09,3
522442768,167,3,968.4,0
512535573,167,1,334.63,0
517391232,167,1,958.58,0
515998870,167,1,429.95,0
572233306,166,3,465.11,0
513215836,167,3,795.82,0
517519963,166,33,8134.8,2
544684525,167,1,368.32,0
519906816,160,9,1575.3600000000001,2
517013464,153,5,527.89,0
512456961,166,10,1719.1900000000003,2
570749697,167,1,795.13,0
559983172,167,1,180.16,3
572219901,167,3,107.13,3
572172189,166,3,312.06,0
571815356,167,2,338.72,0
514118303,167,1,47.62,3
562160370,167,1,128.42,3
571751296,166,11,2637.17,2
533417763,167,1,202.31,3
536546575,166,6,5997.63,2
519810908,167,1,334.6,0
516096637,167,1,264.72,3
512451892,167,1,118.4,3
518392476,166,11,1066.89,2
524929153,167,1,66.85,3
560389722,167,1,493.94,0
514328277,167,8,4833.4,2
537001697,153,5,262.94,0
569434149,167,3,463.16999999999996,0
571672402,167,1,14.65,3
571436587,166,10,7772.0,2
540913125,159,6,2119.0,2
542474865,153,12,7831.49,2
513636992,153,78,13896.590000000004,2
545744550,163,11,801.9000000000001,2
568693049,166,10,2326.8099999999995,2
570795463,167,3,140.55,0
549085696,167,1,42.99,3
552687401,158,5,4012.35,2
514168879,167,2,1916.64,0
514249003,167,1,246.3,3
527577026,167,4,3515.1699999999996,2
572137683,167,2,462.76,0
514585372,167,1,48.88,3
546099821,167,2,194.07999999999998,0
515539883,167,1,10.3,3
560789367,160,7,1957.5300000000002,2
546023855,166,2,2974.7,0
525853334,167,3,1586.5300000000002,0
524088251,167,2,199.72,0
513768737,162,4,1701.63,2
525137082,167,1,66.91,3
560791187,167,2,343.13,0
572195645,158,16,9610.769999999997,2
515101442,156,7,3487.5,2
566811779,164,30,3343.9199999999996,2
571534782,167,4,898.4100000000001,0
565746678,167,9,1030.1299999999999,2
517586178,167,1,202.58,3
534532247,162,7,761.76,2
515970209,167,1,48.65,3
565675309,167,1,257.15,3
525580675,158,4,775.85,0
569585626,167,5,1102.1299999999999,2
572158659,167,1,347.47,0
513063842,167,1,95.21,3
519256622,167,4,2265.15,2
546226001,167,19,9283.44,2
572144890,167,4,1975.84,2
572132997,167,1,289.56,3
572126746,167,2,307.58,0
571299954,166,4,653.54,0
514591109,167,2,1937.71,0
522768348,167,2,2442.04,0
572231580,167,3,1481.1299999999999,0
529847044,166,6,491.52,2
512451044,166,6,1413.6100000000001,2
512495801,167,3,748.26,0
513187267,167,1,43.24,3
515270353,167,3,2887.2799999999997,0
528185166,167,1,64.33,3
544980230,167,2,1973.7800000000002,0
565908381,156,5,432.9,0
523656617,167,1,38.61,3
533523710,167,2,942.88,0
549878374,154,4,1018.22,0
518056864,167,2,418.53999999999996,0
527906890,166,2,381.03000000000003,0
517675008,163,3,670.75,0
519555075,167,1,24.43,3
512483897,163,26,6575.5700000000015,2
512824328,167,13,6327.22,2
512723292,166,3,2505.25,0
557322761,167,1,218.28,3
535865237,156,7,4753.82,2
514889656,167,1,872.09,0
553646192,167,1,154.42,3
531915182,167,1,155.29,3
531758138,166,2,144.14,3
521535249,167,1,82.11,3
568829601,160,7,1433.99,2
515962574,167,2,203.84,0
513057904,156,40,5938.29,2
519449090,167,3,385.26,0
528084372,166,7,1388.38,2
512928270,166,6,888.84,2
555044055,167,1,32.3,3
516372985,167,1,154.16,3
550296930,167,3,1658.46,0
561455621,161,2,213.97,0
512795772,167,1,573.71,0
524781688,167,2,1508.87,0
562948673,154,5,970.4400000000002,2
548234956,161,6,4159.030000000001,2
514961151,167,3,293.65,0
528231998,167,4,1950.35,2
516992881,167,2,390.74,0
537149452,167,8,5965.94,2
518735397,167,1,246.3,3
527278240,167,3,479.24,0
571465707,154,6,2246.41,2
572152715,167,2,89.83,3
516750556,167,1,108.09,3
520897316,166,17,6473.029999999999,2
522710705,167,5,329.34000000000003,0
541713486,167,2,492.6,0
520044899,166,3,133.53,0
516224479,167,1,14.93,3
522879512,166,2,313.88,0
556323686,154,23,6485.150000000001,2
569831824,167,2,287.75,0
516115225,164,3,1177.81,0
571935953,166,13,3924.4,2
512481758,153,5,785.91,2
569696854,167,1,136.64,3
537731223,166,2,436.04999999999995,0
516727412,167,1,73.81,3
565431229,167,1,958.32,0
519832241,167,1,298.07,3
572235623,167,1,58.15,3
518866047,167,2,369.33000000000004,0
550006544,166,2,1123.3,0
526585784,167,14,5531.43,2
519480990,167,2,300.99,0
560373776,160,4,425.23,0
514913108,167,1,107.6,3
571695607,167,1,128.42,3
513293389,167,11,5634.070000000001,2
519095365,167,2,1536.8400000000001,0
514502728,167,1,1209.14,0
567033442,165,47,11904.02,2
522578623,167,2,380.11,0
522849326,164,6,3026.29,2
572111260,162,5,1167.51,2
570353963,167,1,41.19,3
543108292,167,2,1929.22,0
514420782,166,5,1387.02,2
569290902,161,4,491.31000000000006,0
514719036,166,5,799.34,2
520691494,167,1,1022.75,0
512772266,154,89,43591.1,2
534938738,153,8,1558.01,2
516790367,159,2,797.9100000000001,0
528020155,167,1,86.23,3
525347231,167,3,814.77,0
571757765,166,2,2949.0299999999997,0
571734925,167,1,16.71,3
572127539,167,2,769.13,0
515869294,167,5,542.27,2
518767969,167,10,9316.17,2
572207254,167,2,1055.35,0
513958943,167,2,2027.74,0
569623443,159,7,1481.5,2
516796984,166,4,920.6999999999999,0
551307387,167,3,882.3700000000001,0
512509964,166,4,1821.59,2
565642383,167,3,1517.3799999999999,0
543062844,167,2,86.17999999999999,3
512956216,167,1,56.6,3
558294165,167,5,3244.96,2
571283415,167,5,821.7999999999998,2
552357104,166,2,116.58,3
535141974,154,52,27189.66000000001,2
530499874,166,10,5814.4800000000005,2
517744731,153,6,2289.7599999999998,2
547073174,167,4,1362.1699999999998,0
559275183,167,3,166.20000000000002,0
512868139,167,1,270.25,3
571861941,167,2,625.7,0
571770043,167,7,2309.1899999999996,2
513944989,155,13,916.7299999999999,2
523919293,167,4,2117.91,2
514428225,166,17,2772.1800000000003,2
550006763,167,2,106.82,3
528140358,166,8,6778.29,2
544930268,166,4,1464.05,0
554629254,167,1,31.4,3
528452625,167,2,1928.5,0
542749535,166,2,408.19,0
516437056,153,53,24233.079999999994,2
517754747,167,1,97.3,3
566665107,167,2,594.4,0
515612428,167,1,38.56,3
572195109,167,2,771.94,0
572159535,166,12,10244.979999999998,2
513132584,167,3,238.8,0
516058549,166,13,2286.16,2
519427927,167,9,3585.37,2
513028628,167,4,35.37,3
552750392,166,2,130.48,3
572061577,167,4,683.54,0
563642893,158,20,2398.5,2
519177298,167,1,992.17,0
518793934,167,5,846.85,2
528145308,167,1,38.59,3
564728770,153,9,4563.95,2
553666595,167,2,1587.53,0
517169804,167,2,114.00999999999999,3
553753339,167,10,5098.9400000000005,2
515982788,167,1,231.64,3
563209198,167,2,181.09,3
513231552,166,4,3845.5699999999997,2
526061835,167,1,386.08,0
572144892,167,1,115.83,3
514283754,167,1,1448.94,0
530256656,167,2,333.57,0
518648329,167,3,672.3399999999999,0
518824602,167,1,142.6,3
512514905,167,1,169.36,3
552844785,166,4,619.29,0
513176437,167,1,385.83,0
556742462,166,3,1159.95,0
517516630,167,1,20.57,3
514683005,167,2,316.6,0
527137200,167,1,71.79,3
542825825,167,1,218.47,3
572225085,167,4,1196.8000000000002,0
538055508,167,1,121.21,3
556250816,167,1,958.58,0
558134073,167,6,1770.6100000000001,2
522528646,153,2,614.66,0
559539255,166,10,5353.08,2
572170112,167,1,476.18,0
516761029,167,1,519.42,0
536093439,167,1,256.12,3
563989002,167,3,366.79999999999995,0
535734458,167,1,1492.43,0
572154518,167,1,106.54,3
556681737,167,1,77.22,3
548519601,159,7,1945.6,2
535496458,167,1,264.72,3
512728843,167,3,4351.67,0
568509709,167,2,1976.5700000000002,0
563807457,167,2,354.06,0
570018901,167,1,113.0,3
567114118,157,4,487.3,0
566454513,167,1,128.42,3
569791291,166,3,460.11,0
572252013,167,1,197.15,3
554603338,167,3,125.3,3
516275358,167,3,467.86,0
513090645,167,2,1051.04,0
572136965,167,2,1787.3,0
519268368,166,5,386.1,0
532281201,165,2,1206.6999999999998,0
548172030,166,6,5476.54,2
535216460,167,1,576.57,0
571877123,167,1,246.3,3
524808884,162,37,6002.370000000001,2
565399233,167,3,382.16999999999996,0
518061951,167,1,958.32,0
571869312,167,1,246.3,3
572187805,167,2,314.55,0
571064623,166,15,14474.549999999997,2
512794362,155,7,2533.5600000000004,2
516221571,167,1,42.99,3
526904895,167,1,114.78,3
542795356,167,1,128.42,3
560895731,167,1,51.22,3
549390711,167,1,870.78,0
553892302,167,1,35.78,3
554901388,157,42,7611.81,2
528409843,167,1,215.68,3
513588760,167,1,192.45,3
525022385,164,3,665.4100000000001,0
524132529,167,10,1003.7700000000002,2
571787348,154,4,3024.45,2
513586264,166,8,6249.08,2
565529020,167,1,298.31,3
545830244,166,6,2711.0899999999997,2
512632346,157,16,7873.79,2
516827390,167,6,944.54,2
520738955,166,14,1844.64,2
570622238,167,1,168.32,3
518621305,167,2,290.86,0
535426695,155,11,3666.63,2
568554916,167,1,377.1,0
519257826,167,1,298.28,3
569554366,167,1,784.83,0
516354290,167,2,2107.88,0
517647673,167,3,536.18,0
529747222,167,2,303.69,0
512799058,166,3,853.81,0
519076455,167,2,120.47,3
519122453,167,2,404.64,0
548718484,167,2,74.13,3
570814997,167,1,169.35,3
512516464,167,1,573.71,0
520887191,167,1,32.69,3
512767775,167,2,595.25,0
570889962,162,13,1532.75,2
569925939,167,2,1197.84,0
560769182,167,2,172.72,3
516252270,153,27,9310.489999999998,2
516662275,167,1,926.41,0
554117776,167,1,82.11,3
519877723,167,1,154.42,3
525015601,166,2,338.21,0
521791119,167,4,1797.52,2
512446617,154,49,24423.58000000001,2
571738422,162,3,686.48,0
513775662,167,4,4180.23,2
542565135,167,1,566.27,0
554818000,166,3,758.55,0
512752956,162,19,18569.420000000002,2
551731204,167,2,256.9,0
515516258,167,2,668.23,0
520213909,163,34,15302.71,2
534240655,167,2,1200.52,0
546442727,167,1,514.79,0
543605214,167,2,454.81,0
512980976,165,50,47591.069999999985,2
544667372,167,1,43.76,3
572099720,167,1,68.95,3
541972292,167,6,1359.4499999999998,2
517374970,167,1,66.67,3
518555917,167,1,48.65,3
561507683,167,2,155.24,3
516113487,166,2,624.73,0
546059072,167,1,437.57,0
520850913,167,1,1672.89,0
572141373,166,2,204.1,0
529075071,162,17,1447.5200000000002,2
559367111,166,2,1307.6100000000001,0
548116905,167,1,125.61,3
566014984,166,9,4818.03,2
543581234,167,2,503.57,0
532644536,157,15,16878.02,2
567315535,167,1,573.71,0
545746975,167,2,118.4,3
516123461,167,4,606.0799999999999,0
566962939,167,2,576.08,0
512875207,167,8,2611.77,2
553977900,167,1,74.36,3
526638359,167,1,415.69,0
513613473,166,2,543.9,0
516298527,167,1,169.37,3
562204881,166,3,315.48,0
557666492,167,2,707.3499999999999,0
571775045,167,5,738.28,2
518800306,165,4,1077.56,0
530622353,167,1,22.62,3
542407303,167,1,1363.92,0
559514980,153,23,2722.9800000000005,2
515364290,167,7,2409.35,2
520813784,167,2,410.05,0
519805252,167,2,72.43,3
572164393,167,1,231.64,3
538259130,167,2,1147.21,0
559468161,154,12,2165.85,2
571873752,167,2,1220.1,0
572081508,167,5,2076.4,2
542155295,167,1,246.3,3
572243454,155,4,221.08999999999997,0
536610279,167,1,179.15,3
569613383,166,3,318.38000000000005,0
514117932,153,3,974.02,0
515150487,166,9,11304.93,2
560226941,167,1,115.06,3
512733999,167,5,880.58,2
550689133,153,3,539.27,0
515351403,167,8,1328.14,2
518060729,167,4,2247.0,2
519004709,167,1,395.35,0
518694930,155,34,11099.66,2
519335620,167,2,758.8399999999999,0
572140535,167,1,127.91,3
513482951,167,4,334.53999999999996,0
514754089,167,2,573.71,0
512648445,167,5,8083.61,2
560588977,167,5,587.24,2
518431008,167,3,2248.16,0
522946848,167,1,37.32,3
513498274,153,95,25908.669999999995,2
530438412,167,1,449.92,0
514040588,166,3,207.79999999999998,0
544730427,167,1,136.71,3
515356979,167,2,9.72,3
572181084,167,2,175.17,3
512403201,167,2,104.36999999999999,3
531004849,167,1,1363.92,0
517004069,167,1,32.69,3
544478563,167,2,182.95,3
550958086,167,1,175.55,3
537303443,167,2,87.24000000000001,3
571579095,167,1,298.59,3
560789912,167,2,443.51,0
512913620,162,38,9258.829999999998,2
547812534,167,1,189.19,3
572136659,167,3,275.68999999999994,0
518613439,167,1,179.15,3
514675103,167,7,1083.34,2
517815167,167,1,1465.66,0
572131540,167,1,964.25,0
568510075,167,1,263.84,3
512553927,166,3,1929.69,0
518909720,167,2,452.73,0
564932473,167,1,1363.92,0
512729505,167,1,364.23,0
571811901,167,1,63.55,3
512543371,166,7,1617.9399999999996,2
571843774,167,4,334.06,0
571363197,167,1,151.36,3
517213789,167,9,1214.17,2
546760908,166,5,1440.14,2
572158384,167,3,1922.31,0
512577151,167,3,1306.32,0
531300249,167,1,138.48,3
527361679,166,3,727.72,0
513390084,158,5,172.90999999999997,0
572200172,166,7,2990.82,2
513656708,166,2,338.72,0
572219047,160,4,935.6500000000001,0
518473479,167,1,177.03,3
512848861,167,3,597.85,0
516770892,167,1,169.35,3
516350873,167,1,169.36,3
555868020,167,1,107.83,3
569805382,167,2,535.87,0
519551424,167,1,42.99,3
545380766,154,8,6504.4,2
519958653,167,1,15.42,3
517971911,166,9,2461.4900000000002,2
558232824,167,1,314.01,3
523981244,167,1,41.19,3
516391423,166,2,498.04999999999995,0
534558187,167,1,32.4,3
549839278,167,1,136.71,3
563399423,153,15,2272.3,2
566819709,167,2,441.43,0
553371935,166,2,1085.72,0
560561130,167,3,82.11,3
557304156,167,4,179.12,0
567005699,166,7,1397.02,2
566436273,167,1,169.36,3
572181839,166,3,1481.97,0
564340260,167,58,7393.720000000006,2
514066384,167,1,42.47,3
518913698,153,18,6635.850000000001,2
572148564,167,1,205.49,3
523549077,165,2,374.04,0
540966089,163,2,768.8499999999999,0
561123570,167,2,269.22,0
553035930,166,24,10906.629999999997,2
526006314,166,4,3139.24,2
543617566,154,6,937.7400000000001,2
530460906,167,2,2457.17,0
559169671,166,5,603.1800000000001,2
536307145,167,1,246.3,3
572072128,167,1,73.36,3
542830256,167,1,70.27,3
572133913,167,2,405.1,0
561419702,167,2,2024.66,0
524277855,167,1,202.58,3
542696031,153,5,1765.6,2
552648008,167,4,1185.0,0
563878293,167,1,411.57,0
513075368,167,2,878.99,0
571698492,167,1,821.1,0
569082356,167,1,77.22,3
512956275,167,1,42.99,3
520217966,167,3,3068.42,0
557369782,167,1,308.86,3
519126547,167,4,1563.9699999999998,2
571578996,153,42,4272.27,2
515213146,163,6,780.19,2
570381603,157,2,177.57999999999998,3
512374101,167,1,694.74,0
535738855,167,10,1486.78,2
513618736,163,5,348.95000000000005,0
544064805,166,2,1530.02,0
522748082,167,1,82.63,3
514156206,167,2,196.76,0
552503162,159,9,2584.52,2
566054640,166,3,4981.66,0
525167767,159,5,688.29,2
539020377,167,1,99.62,3
565037044,166,4,226.73,0
514747237,167,10,1398.0800000000002,2
518343628,167,1,493.94,0
515812635,161,9,1640.5899999999997,2
516993020,167,2,298.33,0
523105598,167,1,389.95,0
544753321,167,1,694.97,0
547823661,167,2,425.7,0
566998677,154,22,7283.02,2
567672123,167,2,143.07,3
512640777,167,2,446.6,0
519826782,156,3,312.99,0
568499307,167,1,642.98,0
513320116,167,7,513.71,2
516758310,167,1,108.63,3
534302581,166,8,2175.86,2
571991789,167,3,5981.360000000001,2
518304872,167,4,345.66999999999996,0
516780628,167,1,140.52,3
519071720,167,1,962.65,0
571896639,166,2,93.12,3
568976770,167,1,187.6,3
514364497,167,2,546.47,0
542299934,167,2,270.51,0
553477936,167,2,279.94,0
542672743,167,2,2134.6499999999996,0
513203091,167,2,831.14,0
535915680,167,2,851.73,0
523554681,167,3,363.46,0
572215532,167,5,3532.2599999999998,2
572004614,153,9,3536.41,2
518300005,167,3,665.89,0
514836086,167,2,236.26999999999998,0
516262427,161,2,810.47,0
514721794,167,1,1013.87,0
524330088,167,2,1731.8300000000002,0
515520211,155,7,3287.21,2
567450927,167,1,169.37,3
514444500,167,2,359.54999999999995,0
515858887,167,1,154.42,3
519262816,167,2,1972.19,0
569963958,167,1,668.97,0
512365430,167,1,372.96,0
523400343,167,1,795.13,0
551617269,167,4,2369.19,2
538395606,167,2,334.99,0
515833281,167,6,1653.1899999999998,2
566079581,167,1,513.5,0
569565767,167,1,29.6,3
522029026,167,1,565.78,0
564212130,167,1,373.24,0
512415591,167,1,146.72,3
519415225,167,1,196.89,3
512628022,167,2,716.1199999999999,0
526885796,167,2,1523.97,0
520684038,167,1,669.23,0
563762642,167,6,1269.12,2
571275063,167,1,107.7,3
547571159,167,2,134.11,3
569211616,167,1,128.42,3
569385112,162,7,1760.61,2
553053020,167,2,266.61,0
519941192,167,1,97.3,3
548393206,166,12,2721.0499999999997,2
522747083,167,1,68.15,3
548740739,166,20,6462.359999999998,2
542539687,167,2,130.5,3
518866432,153,20,14383.650000000001,2
572220135,159,5,1003.14,2
559092542,167,13,1832.6099999999997,2
559670186,167,2,191.75,0
535087841,167,3,272.88,0
549058198,167,1,784.83,0
557704616,153,4,2052.87,2
518737347,167,1,92.64,3
550991024,167,3,540.29,0
525648784,166,2,910.65,0
571518052,166,2,333.75,0
518039286,167,2,342.13,0
546074038,167,1,27.28,3
537726404,164,23,3668.17,2
551438175,167,1,23.42,3
517569063,167,1,720.46,0
572162519,167,1,348.27,0
528399402,167,3,1387.39,0
531894872,167,2,1931.06,0
562223780,167,2,474.35,0
529557401,166,3,545.62,0
542189253,167,3,78.52,3
522667818,167,2,315.40000000000003,0
564718157,167,1,383.02,0
514234175,167,8,1345.2999999999997,2
